weekly,segment,name,exchange,expiry,instrument_type,asset_symbol,underlying_symbol,instrument_key,lot_size,freeze_quantity,exchange_token,minimum_lot,tick_size,asset_type,underlying_type,trading_symbol,strike_price,isin,short_name,asset_key,underlying_key
True,BCD_FO,JPYINR,BSE,1732300199000.0,CE,JPYINR,JPYINR,BCD_FO|2111608,1.0,10000.0,2111608,1.0,0.25,CUR,CUR,JPYINR 57 CE 22 NOV 24,57.0,,,,
True,BCD_FO,GBPINR,BSE,1732300199000.0,CE,GBPINR,GBPINR,BCD_FO|2111603,1.0,10000.0,2111603,1.0,0.25,CUR,CUR,GBPINR 106.25 CE 22 NOV 24,106.25,,,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,PE,JPYINR,JPYINR,BCD_FO|2111600,1.0,10000.0,2111600,1.0,0.25,CUR,CUR,JPYINR 57 PE 22 NOV 24,57.0,,,,
True,BCD_FO,EURINR,BSE,1732300199000.0,CE,EURINR,EURINR,BCD_FO|2111601,1.0,10000.0,2111601,1.0,0.25,CUR,CUR,EURINR 91 CE 22 NOV 24,91.0,,,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,PE,JPYINR,JPYINR,BCD_FO|2111606,1.0,10000.0,2111606,1.0,0.25,CUR,CUR,JPYINR 58.75 PE 22 NOV 24,58.75,,,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,CE,JPYINR,JPYINR,BCD_FO|2111607,1.0,10000.0,2111607,1.0,0.25,CUR,CUR,JPYINR 55.5 CE 22 NOV 24,55.5,,,,
,BSE_EQ,KAKATIYA TEXTILES LTD.,BSE,,X,,,BSE_EQ|INE092E01011,1.0,100000.0,521054,,1.0,,,KAKTEX,,INE092E01011,,,
,BSE_EQ,RAJKAMAL SYNTHETICS LTD.,BSE,,X,,,BSE_EQ|INE376L01013,1.0,100000.0,514028,,1.0,,,RAJKSYN,,INE376L01013,,,
,BSE_EQ,NILKAMAL LTD.,BSE,,B,,,BSE_EQ|INE310A01015,1.0,100000.0,523385,,5.0,,,NILKAMAL,,INE310A01015,NILKAMAL,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,CE,JPYINR,JPYINR,BCD_FO|2111610,1.0,10000.0,2111610,1.0,0.25,CUR,CUR,JPYINR 58.75 CE 22 NOV 24,58.75,,,,
,BSE_EQ,IRFC-7.75%-15-4-33-PVT,BSE,,F,,,BSE_EQ|INE053F08270,1.0,100000.0,974629,,1.0,,,775IRFC33,,INE053F08270,,,
,BSE_EQ,HDFCB-8.35%-13-5-26-PVT,BSE,,F,,,BSE_EQ|INE040A08500,1.0,100000.0,953957,,1.0,,,835HDFCB26,,INE040A08500,,,
,BSE_EQ,PFSPL-13.50%-30-10-27-PVT,BSE,,F,,,BSE_EQ|INE514Q07296,1.0,100000.0,975170,,1.0,,,1350PFSP27,,INE514Q07296,,,
,BSE_EQ,ZEE MEDIA CORPORATION LIMITED,BSE,,B,,,BSE_EQ|INE966H01019,1.0,100000.0,532794,,1.0,,,ZEEMEDIA,,INE966H01019,ZEE MEDIA,,
,BSE_EQ,IRFC-7.51%-15-4-26-PVT,BSE,,F,,,BSE_EQ|INE053F08288,1.0,100000.0,974678,,1.0,,,751IRFC26,,INE053F08288,,,
True,BCD_FO,EURINR,BSE,1732300199000.0,CE,EURINR,EURINR,BCD_FO|2111624,1.0,10000.0,2111624,1.0,0.25,CUR,CUR,EURINR 90.75 CE 22 NOV 24,90.75,,,,
True,BCD_FO,EURINR,BSE,1732300199000.0,CE,EURINR,EURINR,BCD_FO|2111625,1.0,10000.0,2111625,1.0,0.25,CUR,CUR,EURINR 92.25 CE 22 NOV 24,92.25,,,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,PE,JPYINR,JPYINR,BCD_FO|2111622,1.0,10000.0,2111622,1.0,0.25,CUR,CUR,JPYINR 56.75 PE 22 NOV 24,56.75,,,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,PE,JPYINR,JPYINR,BCD_FO|2111623,1.0,10000.0,2111623,1.0,0.25,CUR,CUR,JPYINR 58.25 PE 22 NOV 24,58.25,,,,
,BSE_EQ,COSMO FERRITES LTD.,BSE,,X,,,BSE_EQ|INE124B01018,1.0,100000.0,523100,,5.0,,,COSMOFE,,INE124B01018,,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,CE,JPYINR,JPYINR,BCD_FO|2111629,1.0,10000.0,2111629,1.0,0.25,CUR,CUR,JPYINR 56.75 CE 22 NOV 24,56.75,,,,
True,BCD_FO,GBPINR,BSE,1732300199000.0,CE,GBPINR,GBPINR,BCD_FO|2111626,1.0,10000.0,2111626,1.0,0.25,CUR,CUR,GBPINR 113.5 CE 22 NOV 24,113.5,,,,
,BSE_EQ,KJMC FINANCIAL SERVICES LTD.,BSE,,X,,,BSE_EQ|INE533C01018,1.0,100000.0,530235,,1.0,,,KJMCFIN,,INE533C01018,,,
False,BSE_FO,SENSEX,BSE,1877452199000.0,PE,SENSEX,SENSEX,BSE_FO|859986,10.0,1000.0,859986,10.0,5.0,INDEX,INDEX,SENSEX 80000 PE 29 JUN 29,80000.0,,,BSE_INDEX|SENSEX,BSE_INDEX|SENSEX
True,BCD_FO,EURINR,BSE,1732300199000.0,PE,EURINR,EURINR,BCD_FO|2111632,1.0,10000.0,2111632,1.0,0.25,CUR,CUR,EURINR 94.75 PE 22 NOV 24,94.75,,,,
True,BCD_FO,JPYINR,BSE,1732300199000.0,CE,JPYINR,JPYINR,BCD_FO|2111630,1.0,10000.0,2111630,1.0,0.25,CUR,CUR,JPYINR 58.25 CE 22 NOV 24,58.25,,,,
,BSE_EQ,IRFC-7.74%-15-4-38-PVT,BSE,,F,,,BSE_EQ|INE053F08296,1.0,100000.0,974679,,1.0,,,774IRFC38,,INE053F08296,,,
True,BSE_FO,SENSEX,BSE,1726856999000.0,CE,SENSEX,SENSEX,BSE_FO|1125606,10.0,1000.0,1125606,10.0,5.0,INDEX,INDEX,SENSEX 85800 CE 20 SEP 24,85800.0,,,BSE_INDEX|SENSEX,BSE_INDEX|SENSEX
True,BCD_FO,EURINR,BSE,1732300199000.0,PE,EURINR,EURINR,BCD_FO|2111614,1.0,10000.0,2111614,1.0,0.25,CUR,CUR,EURINR 90.75 PE 22 NOV 24,90.75,,,,
True,BCD_FO,EURINR,BSE,1732300199000.0,PE,EURINR,EURINR,BCD_FO|2111612,1.0,10000.0,2111612,1.0,0.25,CUR,CUR,EURINR 96.75 PE 22 NOV 24,96.75,,,,
